group_id,Premise,Hypothesis,label
3,একজন মানুষ পিঠে কিছু নিয়ে রাস্তা দিয়ে হেঁটে যাচ্ছে।,রাস্তায় কোন হাটার যায়গা নেই,Contradiction
4,"কয়েকজন মহিলা, পুরুষ মিলে রাস্তায় আন্দোলন করেছে আর তার মধ্যে সামনের দুই তিন জনের মুখ রুমাল দিয়ে ঢেকে রেখেছে।",রাস্তায় অনেক মানুষ হাঁটছে,Entailment
4,"কয়েকজন মহিলা, পুরুষ মিলে রাস্তায় আন্দোলন করেছে আর তার মধ্যে সামনের দুই তিন জনের মুখ রুমাল দিয়ে ঢেকে রেখেছে।",রাস্তায় অনেক জ্যাম আন্দোলনের কারনে,Neutral
4,"কয়েকজন মহিলা, পুরুষ মিলে রাস্তায় আন্দোলন করেছে আর তার মধ্যে সামনের দুই তিন জনের মুখ রুমাল দিয়ে ঢেকে রেখেছে।",রাস্তা অনেক চুপচাপ,Contradiction
5,এখানে কয়েকজন পুরুষ আছে।,এখানে কিছু মানুষ আছে,Entailment
5,এখানে কয়েকজন পুরুষ আছে।,কয়েকজন পুরুষ গল্প করছে,Neutral
5,এখানে কয়েকজন পুরুষ আছে।,কিছু মেয়ে এখানে কথা বলছে,Contradiction
6,একজন মহিলা লাল-সাদা শাড়ি ও হাতে চুরি পড়ে সবুজ ক্ষেতের পথ ধরে হেঁটে যাচ্ছে।,একটি সবুজ ক্ষেতে হাটার পথ আছে,Entailment
6,একজন মহিলা লাল-সাদা শাড়ি ও হাতে চুরি পড়ে সবুজ ক্ষেতের পথ ধরে হেঁটে যাচ্ছে।,পাশের গ্রামে বিয়ের আয়জনে মানুষ যাচ্ছে,Neutral
6,একজন মহিলা লাল-সাদা শাড়ি ও হাতে চুরি পড়ে সবুজ ক্ষেতের পথ ধরে হেঁটে যাচ্ছে।,একজন মহিলা লাল সাড়ি পরে গারি দিয়ে বিয়ের দাওয়াতে যাচ্ছে,Contradiction
7,শাড়ি পরিহিত একজন নারী ফসলের ক্ষেতের মাঝে দাড়িয়ে আছে।,ফসলের ক্ষেতে শাড়ি পরা একজন দেখা যাচ্ছে,Entailment
7,শাড়ি পরিহিত একজন নারী ফসলের ক্ষেতের মাঝে দাড়িয়ে আছে।,এই বছর অনেক ফসল হয়েছে,Neutral
7,শাড়ি পরিহিত একজন নারী ফসলের ক্ষেতের মাঝে দাড়িয়ে আছে।,একজন পুরুষ শাড়ি পরে ফসলের ক্ষেতে দারিয়ে আছে,Contradiction
8,"রাস্তায় অনেকগুলা ভ্যান ভিড়ানো, একটা ভ্যানের মধ্যে একজন মহিলা তার কোলে একটা বাচ্চা বসে আছে, অন্য আরেকটা বাচ্চা দাঁড়িয়ে আচ্ছে।",রাস্তায় অনেক গাড়ি আছে,Entailment
8,"রাস্তায় অনেকগুলা ভ্যান ভিড়ানো, একটা ভ্যানের মধ্যে একজন মহিলা তার কোলে একটা বাচ্চা বসে আছে, অন্য আরেকটা বাচ্চা দাঁড়িয়ে আচ্ছে।",রাস্তায় অনেক জ্যাম,Neutral
8,"রাস্তায় অনেকগুলা ভ্যান ভিড়ানো, একটা ভ্যানের মধ্যে একজন মহিলা তার কোলে একটা বাচ্চা বসে আছে, অন্য আরেকটা বাচ্চা দাঁড়িয়ে আচ্ছে।",ভ্যান সব খালি,Contradiction
9,দুইটি শিশু ও একজন নারী আছে।,কেয়েকজন মানুষ আছে,Entailment
9,দুইটি শিশু ও একজন নারী আছে।,কিছু মানুষ গল্প করছে,Neutral
9,দুইটি শিশু ও একজন নারী আছে।,একটি বাচ্চা ও একটি নারী আছে,Contradiction
10,তিনজন পুরুষ ও দুইজন নারী পাশাপাশি বসে আছে।,কয়েকজন মানুষ এক লাইনে বসে আছে,Entailment
10,তিনজন পুরুষ ও দুইজন নারী পাশাপাশি বসে আছে।,কয়েকজন মানুষ টেবিলে খাচ্ছে,Neutral
10,তিনজন পুরুষ ও দুইজন নারী পাশাপাশি বসে আছে।,কয়েকজন মানুষ গোল করে বসে আছে,Contradiction
11,নীল রঙের জামা পড়ে ছয়জন ছোট মেয়ে মঞ্চে দাঁড়িয়ে একসাথে নাচছে।,মঞ্চে নীল রঙের কাপড় পড়া মানুষ আছে,Entailment
11,নীল রঙের জামা পড়ে ছয়জন ছোট মেয়ে মঞ্চে দাঁড়িয়ে একসাথে নাচছে।,মঞ্চ থেকে অনেক গান বাজনা শোনা যাচ্ছে,Neutral
11,নীল রঙের জামা পড়ে ছয়জন ছোট মেয়ে মঞ্চে দাঁড়িয়ে একসাথে নাচছে।,মঞ্চে ছয়জন মেয়ে বসে নাচছে,Contradiction
12,সুন্দরবন রক্ষায় বিজ্ঞান আনদোলন মঞ্চের পক্ষ থেকে স্কুল - কলেজ এর শিক্ষার্থীরা একসাথে রাস্তায় মিছিল করছে।,রাস্তায় অনেক মানুষ,Entailment
12,সুন্দরবন রক্ষায় বিজ্ঞান আনদোলন মঞ্চের পক্ষ থেকে স্কুল - কলেজ এর শিক্ষার্থীরা একসাথে রাস্তায় মিছিল করছে।,রাস্তায় গাড়ি চলতে পারছে না,Neutral
12,সুন্দরবন রক্ষায় বিজ্ঞান আনদোলন মঞ্চের পক্ষ থেকে স্কুল - কলেজ এর শিক্ষার্থীরা একসাথে রাস্তায় মিছিল করছে।,রাস্তায় সুধু একটি ছাত্র,Contradiction
13,শরীরে পোস্টার লাগিয়ে কয়েকজন মানুষ হেঁটে আসছে। পিছনে ব্যানার নিয়ে অনেকগুলো মানুষ আসছে।,রাস্তায় ব্যানার দেখা যাচ্ছে,Entailment
13,শরীরে পোস্টার লাগিয়ে কয়েকজন মানুষ হেঁটে আসছে। পিছনে ব্যানার নিয়ে অনেকগুলো মানুষ আসছে।,পুলিশ রাস্তা ঘেরাও করেছে,Neutral
13,শরীরে পোস্টার লাগিয়ে কয়েকজন মানুষ হেঁটে আসছে। পিছনে ব্যানার নিয়ে অনেকগুলো মানুষ আসছে।,রাস্তায় ছয় ফিট বন্যা হয়েছে,Contradiction
14,"সামনে দুইজন পুরুষ, একজন নারী ও একটি শিশু আছে।",সামনে কয়েকজন আছে,Entailment
14,"সামনে দুইজন পুরুষ, একজন নারী ও একটি শিশু আছে।",সামনে একটি কুকুর আছে,Neutral
14,"সামনে দুইজন পুরুষ, একজন নারী ও একটি শিশু আছে।",সামনে একজন নারী আছে,Contradiction
15,দুইটি নৌকা আছে। একটি নৌকা মালামাল ভর্তি আছে।,একটি নৌকায় অনেক মাল আছে,Entailment
15,দুইটি নৌকা আছে। একটি নৌকা মালামাল ভর্তি আছে।,একটি নৌকায় অনেক মানুষ আছে,Neutral
15,দুইটি নৌকা আছে। একটি নৌকা মালামাল ভর্তি আছে।,দুইটি নৌকায় অনেক যায়গা আছে,Contradiction
16,একটা ছোট ছেলে স্পাইডার ম্যান এর পোশাক পড়ে হাতে সাইকেল ধরে দাঁড়িয়ে আছে।,স্পাইডার ম্যান নাই এখানে,Entailment
16,একটা ছোট ছেলে স্পাইডার ম্যান এর পোশাক পড়ে হাতে সাইকেল ধরে দাঁড়িয়ে আছে।,স্পাইডার ম্যান দেখাছে টিভিতে,Neutral
16,একটা ছোট ছেলে স্পাইডার ম্যান এর পোশাক পড়ে হাতে সাইকেল ধরে দাঁড়িয়ে আছে।,স্পাইডার ম্যান সাইকেল ধরে দারিয়ে আছে,Contradiction
17,একজন মানুষ সম্পূর্ণ শরীর ঢেকে রেখেছে।,একজন মানুষ আছে,Entailment
17,একজন মানুষ সম্পূর্ণ শরীর ঢেকে রেখেছে।,একজন মানুষ মম্বাতি নিয়ে দারিয়ে আছে,Neutral
17,একজন মানুষ সম্পূর্ণ শরীর ঢেকে রেখেছে।,একজন মানুষের হাত দেখা যাচ্ছে,Contradiction
18,মাঠে কয়েকজন ছোট ছেলে সবাই মিলে দড়ি টানাটানি খেলা খেলছে।,মাঠে ছেলেরা দরাদরি খেলছে না,Entailment
18,মাঠে কয়েকজন ছোট ছেলে সবাই মিলে দড়ি টানাটানি খেলা খেলছে।,মাঠে বাবারা খেলা দেখছে,Neutral
18,মাঠে কয়েকজন ছোট ছেলে সবাই মিলে দড়ি টানাটানি খেলা খেলছে।,মাঠে ছেলেরা দরাদরি খেলছে,Contradiction
19,কয়েকজন বালক আছে।,কয়েকজন মানুষ আছে,Entailment
19,কয়েকজন বালক আছে।,কোন মেয়ে নেই,Neutral
19,কয়েকজন বালক আছে।,কয়েকজন মেয়ে আছে,Contradiction
20,"কয়েকজন ছেলে মেয়ে একসাথে দাঁড়িয়ে, হাত উচু করে হাসিমুখ করে দাঁড়িয়ে আছে।",কয়েকজন হাত উচু করে দারিয়ে আছে,Entailment
20,"কয়েকজন ছেলে মেয়ে একসাথে দাঁড়িয়ে, হাত উচু করে হাসিমুখ করে দাঁড়িয়ে আছে।",ছেলে মেয়েরা গান করছে,Neutral
20,"কয়েকজন ছেলে মেয়ে একসাথে দাঁড়িয়ে, হাত উচু করে হাসিমুখ করে দাঁড়িয়ে আছে।",একটি ছেলে হাত নিচু করে দারিয়ে আছে,Contradiction
21,একজন পুরুষ আরেকজন পুরুষকে কাঁধে তুলে রেখেছে। দূরে অনেকগুলো মানুষজন আছে।,এখানে মানুষ আছে,Entailment
21,একজন পুরুষ আরেকজন পুরুষকে কাঁধে তুলে রেখেছে। দূরে অনেকগুলো মানুষজন আছে।,মানুষ অনেক আনন্দ করছে,Neutral
21,একজন পুরুষ আরেকজন পুরুষকে কাঁধে তুলে রেখেছে। দূরে অনেকগুলো মানুষজন আছে।,এখানে শুধু একজন পুরুষ আছে,Contradiction
22,দুইজন নারী কাজ করছে।,এখানে দুইজন নারী আছে,Entailment
22,দুইজন নারী কাজ করছে।,এখানে ধানের কাজ হচ্ছে,Neutral
22,দুইজন নারী কাজ করছে।,এখানে কোন মহিলা নাই,Contradiction
23,"সরিষা ক্ষেতের পথ ধরে দুই ছোট মেয়ে লাল-হলুদ শাড়ি পড়ে, হাতে লাল-সবুজ পতাকা নিয়ে হেঁটে যাচ্ছে।",সরিষা ক্ষেতের পথে লাল সবুজ পতাকা দেখা যাচ্ছে,Entailment
23,"সরিষা ক্ষেতের পথ ধরে দুই ছোট মেয়ে লাল-হলুদ শাড়ি পড়ে, হাতে লাল-সবুজ পতাকা নিয়ে হেঁটে যাচ্ছে।",দুটি মেয়ে বিয়েতে যাচ্ছে,Neutral
23,"সরিষা ক্ষেতের পথ ধরে দুই ছোট মেয়ে লাল-হলুদ শাড়ি পড়ে, হাতে লাল-সবুজ পতাকা নিয়ে হেঁটে যাচ্ছে।",সরিষা ক্ষেতের পথে লাল হলুদ পতাকা দেখা যাচ্ছে,Contradiction
24,একজন শিক্ষক এক মাদ্রাসার শিক্ষার্থীর হাতে বইয়ের সেট তুলে দিচ্ছে।,একজন শিক্ষার্থী ও একজন শিক্ষক একসাথে আছে,Entailment
24,একজন শিক্ষক এক মাদ্রাসার শিক্ষার্থীর হাতে বইয়ের সেট তুলে দিচ্ছে।,শিক্ষার্থীর হাতে অনেকগুলো কোরআন,Neutral
24,একজন শিক্ষক এক মাদ্রাসার শিক্ষার্থীর হাতে বইয়ের সেট তুলে দিচ্ছে।,শিক্ষার্থীর হাতে কোন বই নাই,Contradiction
25,একজন পুরুষ আরেকজন পুরুষকে বই দিচ্ছে। পাশে কয়েকজন মানুষ আছে।,একজনের হাতে বই আছে,Entailment
25,একজন পুরুষ আরেকজন পুরুষকে বই দিচ্ছে। পাশে কয়েকজন মানুষ আছে।,কোন মহিলা নাই এখানে,Neutral
25,একজন পুরুষ আরেকজন পুরুষকে বই দিচ্ছে। পাশে কয়েকজন মানুষ আছে।,কোন ছেলে নেই এখানে,Contradiction
26,দোলনায় শাড়ি পরিহিত একজন নারী বসে আছে। পাশে পাঞ্জাবি পরিহিত একজন পুরুষ দাড়িয়ে আছে।,শাড়ি পরিহিত একজন নারী আছে,Entailment
26,দোলনায় শাড়ি পরিহিত একজন নারী বসে আছে। পাশে পাঞ্জাবি পরিহিত একজন পুরুষ দাড়িয়ে আছে।,সবুজ শাড়ি পরিহিত একজন নারী আছে,Neutral
26,দোলনায় শাড়ি পরিহিত একজন নারী বসে আছে। পাশে পাঞ্জাবি পরিহিত একজন পুরুষ দাড়িয়ে আছে।,শাড়ি পরিহিত একজন পুরুষ আছে,Contradiction
27,একটা লোক নৌকায় বসে আছে আর তার পাশে থাকা বালতি থেকে পানি নিয়ে একটা আহত পাখির মাথায় পানি ঢালছে।,একজন নৌকায় বসে আছে,Entailment
27,একটা লোক নৌকায় বসে আছে আর তার পাশে থাকা বালতি থেকে পানি নিয়ে একটা আহত পাখির মাথায় পানি ঢালছে।,নৌকায় একটি আহত কাক,Neutral
27,একটা লোক নৌকায় বসে আছে আর তার পাশে থাকা বালতি থেকে পানি নিয়ে একটা আহত পাখির মাথায় পানি ঢালছে।,নৌকায় একটি খালি বালতি আছে,Contradiction
28,সমুদ্রের মাছ ধরার ট্রলার থেকে জেলেরা মাছ নামাচ্ছে আর কতোগুলো সাদা বক পানির উপর দিয়ে উড়ছে।,আকাশে বক উড়ছে,Entailment
28,সমুদ্রের মাছ ধরার ট্রলার থেকে জেলেরা মাছ নামাচ্ছে আর কতোগুলো সাদা বক পানির উপর দিয়ে উড়ছে।,জালের ভিতর অনেক রুপচান্দা মাছ,Neutral
28,সমুদ্রের মাছ ধরার ট্রলার থেকে জেলেরা মাছ নামাচ্ছে আর কতোগুলো সাদা বক পানির উপর দিয়ে উড়ছে।,সব বক ট্রলারের ছাদে দারিয়ে আছে,Contradiction
29,"পাঁচজন মানুষ, একটি নৌকা ও কয়েকটি সাদা পাখি দেখা যাচ্ছে।",একটার বেশি সাদা পাখি দেখা যাচ্ছে,Entailment
29,"পাঁচজন মানুষ, একটি নৌকা ও কয়েকটি সাদা পাখি দেখা যাচ্ছে।",নৌকায় চড়ে মাছ ধরছে,Neutral
29,"পাঁচজন মানুষ, একটি নৌকা ও কয়েকটি সাদা পাখি দেখা যাচ্ছে।",এখানে কোন মানুষ নাই,Contradiction
30,একজন ফল বিক্রেতা ফলের দোকানে বসে আছে আর তার চারদিকে লাল-হলুদ-সবুজ-কালো ফল সাজানো।,একজন ফল বিক্রি করছে,Entailment
30,একজন ফল বিক্রেতা ফলের দোকানে বসে আছে আর তার চারদিকে লাল-হলুদ-সবুজ-কালো ফল সাজানো।,দোকানে অনেক লাভ হয়েছে,Neutral
30,একজন ফল বিক্রেতা ফলের দোকানে বসে আছে আর তার চারদিকে লাল-হলুদ-সবুজ-কালো ফল সাজানো।,ফলের দোকানে নীল ফল সাজন,Contradiction
31,ফলের দোকানে একজন পুরুষ বসে আছে।,ফলের দোকানে একজন আছে,Entailment
31,ফলের দোকানে একজন পুরুষ বসে আছে।,অনেক মানুষ ফল কিনতে এসেছে,Neutral
31,ফলের দোকানে একজন পুরুষ বসে আছে।,ফলের দোকান খালি,Contradiction
32,অনেকগুলো গাছের মাঝ দিয়ে সাইকেলে তিনজন মানুষ যাচ্ছে।,কয়েকজন সাইকেল চালাচ্ছে,Entailment
32,অনেকগুলো গাছের মাঝ দিয়ে সাইকেলে তিনজন মানুষ যাচ্ছে।,তিনজন বন্ধুর বাসায় যাচ্ছে,Neutral
32,অনেকগুলো গাছের মাঝ দিয়ে সাইকেলে তিনজন মানুষ যাচ্ছে।,কোন সাইকেল নাই এখানে,Contradiction
33,আলো ছায়াতে দুইটি গাছ ও একটি মানুষ দেখা যাচ্ছে।,দুইটি গাছ আছে,Entailment
33,আলো ছায়াতে দুইটি গাছ ও একটি মানুষ দেখা যাচ্ছে।,দুইটি বট গাছ আছে,Neutral
33,আলো ছায়াতে দুইটি গাছ ও একটি মানুষ দেখা যাচ্ছে।,এখানে সুধু দুইটি গাছ আছে,Contradiction
34,একটা লোক নীল রঙের একটা গাড়ির মধ্যে বাইরে পা বের করে  শুয়ে আছে।,একটি লোক গারিতে শুয়ে আছে,Entailment
34,একটা লোক নীল রঙের একটা গাড়ির মধ্যে বাইরে পা বের করে  শুয়ে আছে।,রাস্তায় একটি নীল গাড়ি,Neutral
34,একটা লোক নীল রঙের একটা গাড়ির মধ্যে বাইরে পা বের করে  শুয়ে আছে।,একটি লোক লাল রঙের গাড়ির ভিতরে,Contradiction
35,একজন পুরুষ শুয়ে ঘুমাচ্ছে।,একজন ঘুমাচ্ছে,Entailment
35,একজন পুরুষ শুয়ে ঘুমাচ্ছে।,একজন পরুষ খাটে ঘুমাচ্ছে,Neutral
35,একজন পুরুষ শুয়ে ঘুমাচ্ছে।,একজন মহিলা ঘুমাচ্ছে,Contradiction
36,"চারদিকে সবুজ ক্ষেত তার মাঝখান দিয়ে একটা রাস্তা, রাস্তা দিয়ে একটা কিশোরী হাসিমুখে দৌড়ে যাচ্ছে।",রাস্তায় একটি কিশোরী যাচ্ছে,Entailment
36,"চারদিকে সবুজ ক্ষেত তার মাঝখান দিয়ে একটা রাস্তা, রাস্তা দিয়ে একটা কিশোরী হাসিমুখে দৌড়ে যাচ্ছে।",একটি কিশোরী বিয়েতে যাচ্ছে,Neutral
36,"চারদিকে সবুজ ক্ষেত তার মাঝখান দিয়ে একটা রাস্তা, রাস্তা দিয়ে একটা কিশোরী হাসিমুখে দৌড়ে যাচ্ছে।",রাস্তায় একটি কিশোরী কাঁদছে,Contradiction
37,একজন নারী দৌড় দিচ্ছে।,একজন নারী যাচ্ছে,Entailment
37,একজন নারী দৌড় দিচ্ছে।,একজন লাল শাড়ি পরা নারী যাচ্ছে,Neutral
37,একজন নারী দৌড় দিচ্ছে।,একজন পুরুষ দৌড় দিচ্ছে,Contradiction
38,পাঁচজন বন্ধু একে অন্যের কাঁধে কাঁধ রেখে একসাথে বসে আছে।,পাঁচজন মানুষ বসে আছে,Entailment
38,পাঁচজন বন্ধু একে অন্যের কাঁধে কাঁধ রেখে একসাথে বসে আছে।,কয়েকজন বন্ধু অপেক্ষা করছে,Neutral
38,পাঁচজন বন্ধু একে অন্যের কাঁধে কাঁধ রেখে একসাথে বসে আছে।,পাঁচজন বন্ধু একে অন্যের কাঁধে বসে আছে,Contradiction
39,সামনে তিনজন পুরুষ ও পিছনে একজন পুরুষ আছে।,কয়েকজন পুরুষ আছে,Entailment
39,সামনে তিনজন পুরুষ ও পিছনে একজন পুরুষ আছে।,কয়েকজন বন্ধু একসাথে হয়েছে,Neutral
39,সামনে তিনজন পুরুষ ও পিছনে একজন পুরুষ আছে।,সামনে একজন পুরুষ এবং পিছনে তিনজন পুরুষ আছে,Contradiction
40,লাল জামা পড়া একটা ছোট শিশু উল্টিয়ে পালটিয়ে দেখছে আর বইয়ের দিকে তাকিয়ে আছে।,একটি শিশু বইয়ের দিকে তাকিয়ে আছে,Entailment
40,লাল জামা পড়া একটা ছোট শিশু উল্টিয়ে পালটিয়ে দেখছে আর বইয়ের দিকে তাকিয়ে আছে।,একটি শিশু বিজ্ঞানের বইয়ের দিকে তাকিয়ে আছে,Neutral
40,লাল জামা পড়া একটা ছোট শিশু উল্টিয়ে পালটিয়ে দেখছে আর বইয়ের দিকে তাকিয়ে আছে।,কালো জামা পড়া একটি শিশু বইয়ের দিকে তাকিয়ে আছে,Contradiction
41,একটি শিশু বই দেখছে।,একটি মানুষ বই দেখছে,Entailment
41,একটি শিশু বই দেখছে।,কালো জামা পড়া একটি শিশু বই দেখছে,Neutral
41,একটি শিশু বই দেখছে।,একটি শিশু বই দেখছে না,Contradiction
42,"নদীর পাড়ে কয়েকজন ছেলে-মেয়ে একসাথে দাঁড়িয়ে মজা করছে, কথা বলছে।",নদীর পাড়ে কয়েকজন মজা করছে,Entailment
42,"নদীর পাড়ে কয়েকজন ছেলে-মেয়ে একসাথে দাঁড়িয়ে মজা করছে, কথা বলছে।",নদীর পাড়ে লাল হলুদ কাপড় পড়ে কয়েকজন একসাথে মজা করছে,Neutral
42,"নদীর পাড়ে কয়েকজন ছেলে-মেয়ে একসাথে দাঁড়িয়ে মজা করছে, কথা বলছে।",নদীর পাড়ে কয়েকজন বসে আছে,Contradiction
43,কয়েকজন নারী ও পুরুষ আছে।,কয়েকজন মানুষ আছে,Entailment
43,কয়েকজন নারী ও পুরুষ আছে।,কয়েকজন লাল জামা পড়া মানুষ আছে,Neutral
43,কয়েকজন নারী ও পুরুষ আছে।,শুধু কয়েকজন পুরুষ আছে,Contradiction
44,একটা নৌকা থেকে কয়েকজন লোক মিলে হলুদ রঙের স্টীমার দেখছে।,কয়েকজন মানুষ একটি নৌকায় আছে,Entailment
44,একটা নৌকা থেকে কয়েকজন লোক মিলে হলুদ রঙের স্টীমার দেখছে।,স্টীমারে অনেক মানুষ আছে,Neutral
44,একটা নৌকা থেকে কয়েকজন লোক মিলে হলুদ রঙের স্টীমার দেখছে।,একটি লাল রংয়ের স্টীমার দেখা যাচ্ছে,Contradiction
45,কয়েকজন মানুষ দাড়িয়ে আছে।,কয়েকজন দাড়িয়ে আছে,Entailment
45,কয়েকজন মানুষ দাড়িয়ে আছে।,কয়েকন অপেক্ষা করছে,Neutral
45,কয়েকজন মানুষ দাড়িয়ে আছে।,কয়েকজন বসে আছে,Contradiction
46,জলাশয়ের পারে একজন নারী ও অনেকগুলো হাঁস আছে।,জলাশয়ের পারে একজন নারী আছে,Entailment
46,জলাশয়ের পারে একজন নারী ও অনেকগুলো হাঁস আছে।,জলাশয়ের পারে একজন নারী দাড়িয়ে আছে,Neutral
46,জলাশয়ের পারে একজন নারী ও অনেকগুলো হাঁস আছে।,জলাশয়ের পারে অনেক মানুষ আছে,Contradiction
47,প্যান্ট ও গেঞ্জি পরিহিত দুইজন পুরুষ পাশাপাশি দাড়িয়ে আছে।,দুইজন পুরুষ দাড়িয়ে আছে,Entailment
47,প্যান্ট ও গেঞ্জি পরিহিত দুইজন পুরুষ পাশাপাশি দাড়িয়ে আছে।,দুইজন পুরুষ অপেক্ষা করছে,Neutral
47,প্যান্ট ও গেঞ্জি পরিহিত দুইজন পুরুষ পাশাপাশি দাড়িয়ে আছে।,লুঙ্গি পরিহিত দুইজন পুরুষ দাড়িয়ে আছে,Contradiction
48,ভর্তি পরীক্ষায় কয়েকজন ব্যক্তি পরীক্ষা দিচ্ছে আর একজন আর্মি কর্মকর্তা পরীক্ষায় গার্ড দিচ্ছে।,কয়েকজন পরীক্ষা দিচ্ছে,Entailment
48,ভর্তি পরীক্ষায় কয়েকজন ব্যক্তি পরীক্ষা দিচ্ছে আর একজন আর্মি কর্মকর্তা পরীক্ষায় গার্ড দিচ্ছে।,বুয়েটে ভর্তি পরীক্ষা দিচ্ছে,Neutral
48,ভর্তি পরীক্ষায় কয়েকজন ব্যক্তি পরীক্ষা দিচ্ছে আর একজন আর্মি কর্মকর্তা পরীক্ষায় গার্ড দিচ্ছে।,কেও পরীক্ষা দিচ্ছে না,Contradiction
49,অনেকগুলো পুরুষ বসে থেকে লেখছে।,অনেক পুরুষ লিখছে,Entailment
49,অনেকগুলো পুরুষ বসে থেকে লেখছে।,অনেক পুরুষ পরীক্ষা দিচ্ছে,Neutral
49,অনেকগুলো পুরুষ বসে থেকে লেখছে।,অনেক পুরুষ দাঁড়িয়ে আছে,Contradiction
50,একজন মানুষ বসে আছে।,একজন বসে আছে,Entailment
50,একজন মানুষ বসে আছে।,একজন তার ভাইয়ের জন্য অপেক্ষা করছে,Neutral
50,একজন মানুষ বসে আছে।,একজন দাঁড়িয়ে আছে,Contradiction
51,ফসলের ক্ষেত থেকে দুইজন পুরুষ ফসল নিয়ে যাচ্ছে।,দুইজন মানুষ ফসল নিয়ে যাচ্ছে,Entailment
51,ফসলের ক্ষেত থেকে দুইজন পুরুষ ফসল নিয়ে যাচ্ছে।,পুরুষ দুইজন বাসায় ফসল নিয়ে যাচ্ছে,Neutral
51,ফসলের ক্ষেত থেকে দুইজন পুরুষ ফসল নিয়ে যাচ্ছে।,তিনজন পুরুষ ফসল নিয়ে যাচ্ছে,Contradiction
52,একটি শিশু সাইকেলে বসে আছে। পাশে একজন পুরুষ দাড়িয়ে আছে।,দুইজন মানুষ আছে,Entailment
52,একটি শিশু সাইকেলে বসে আছে। পাশে একজন পুরুষ দাড়িয়ে আছে।,একটি শিশু এবং তার বাবা আছে,Neutral
52,একটি শিশু সাইকেলে বসে আছে। পাশে একজন পুরুষ দাড়িয়ে আছে।,দুইজন পুরুষ বসে আছে,Contradiction
53,একজন নারী ও একজন পুরুষ আছে।,দুইজন আছে,Entailment
53,একজন নারী ও একজন পুরুষ আছে।,একজন পুরুষ ও তার বৌ আছে,Neutral
53,একজন নারী ও একজন পুরুষ আছে।,দুইজন পুরুষ আছে,Contradiction
54,দূরে একজন মানুষ ক্যামেরা দিয়ে ছবি তুলছে।,একজন মানুষ ছবি তুলছে,Entailment
54,দূরে একজন মানুষ ক্যামেরা দিয়ে ছবি তুলছে।,একজন পুরুষ ছবি তুলছে,Neutral
54,দূরে একজন মানুষ ক্যামেরা দিয়ে ছবি তুলছে।,কাছে একজন ক্যামেরা দিয়ে ছবি তুলছে,Contradiction
55,রাস্তায় পানি জমে আছে ও কয়েকটি রিক্সা চলছে।,রাস্তায় বন্যা হয়েছে,Entailment
55,রাস্তায় পানি জমে আছে ও কয়েকটি রিক্সা চলছে।,অনেক বৃষ্টি হচ্ছে,Neutral
55,রাস্তায় পানি জমে আছে ও কয়েকটি রিক্সা চলছে।,রাস্তায় কোন রিক্সা নাই,Contradiction
